color	color2	color3	size
"Ringweite Damenring"	"Ringweite Herrenring"	Oberflächenstruktur	Gravur
50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70	54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78	M1;M2;M3;M4;M5;M6;M7;M8;M9	keine;Druckschrift;Schreibschrift
