Artikelnummer	333 DR	 333 HR	 375 DR	 375 HR	 585 DR	 585 HR	 750 DR	 750 HR
Stelmach-0001	292	336	336	384	532	612	932	1064
Stelmach-0002	228	264	256	300	408	468	700	804
Stelmach-0003	244	280	276	316	440	504	752	804
